ALACANT/ALICANTE,2018-12-06,Cielo poco nuboso o despejado .,nubes
ALACANT/ALICANTE,2018-12-06,Temperaturas mínimas sin cambios importantes y máximas con descensos locales en el interior .,temperatura
ALACANT/ALICANTE,2018-12-06,Viento variable flojo .,viento
ALACANT/ALICANTE,2018-12-05,Intervalos de nubes altas ;tendiendo a despejar al final .,nubes
ALACANT/ALICANTE,2018-12-05,Temperaturas con pocos cambios .,temperatura
ALACANT/ALICANTE,2018-12-05,Viento variable flojo con predominio de la componente oeste .,viento
ALACANT/ALICANTE,2018-12-19,Cielo nuboso al principio ;tendiendo hacia mediodía a poco nuboso con intervalos de nubes altas .,nubes
ALACANT/ALICANTE,2018-12-19,Temperaturas mínimas en ascenso ; máximas en ascenso en el litoral y pocos cambios en el interior .,temperatura
ALACANT/ALICANTE,2018-12-19,Viento de componente oeste flojo a moderado .,viento
ALACANT/ALICANTE,2018-12-22,Intervalos de nubes altas .,nubes
ALACANT/ALICANTE,2018-12-22,Temperaturas en ascenso .,temperatura
ALACANT/ALICANTE,2018-12-22,Viento de componente oeste flojo .,viento
ALACANT/ALICANTE,2018-12-10,Intervalos de nubes altas ;más abundantes por la tarde .,nubes
ALACANT/ALICANTE,2018-12-10,Temperaturas en descenso ;sobre todo las máximas .,temperatura
ALACANT/ALICANTE,2018-12-10,Viento variable flojo .,viento
ALACANT/ALICANTE,2018-11-23,Nuboso o cubierto con precipitaciones ocasionales durante la primera mitad del día ;disminuyendo la nubosidad por la tarde a poco nuboso .,precipitacion
ALACANT/ALICANTE,2018-11-23,Temperaturas mínimas sin cambios importantes y máximas en ascenso en los litorales .,temperatura
ALACANT/ALICANTE,2018-11-23,Viento variable flojo tendiendo a lo largo de la mañana a componente oeste moderado con alguna racha fuerte en el interior .,viento
ALACANT/ALICANTE,2018-12-27,Poco nuboso con intervalos de nubes medias y altas .,nubes
ALACANT/ALICANTE,2018-12-27,Brumas y bancos de niebla matinales .,humedad
ALACANT/ALICANTE,2018-12-27,Temperaturas con pocos cambios .,temperatura
ALACANT/ALICANTE,2018-12-27,Algunas heladas débiles en el interior .,temperatura
ALACANT/ALICANTE,2018-12-27,Viento variable flojo .,viento
ALACANT/ALICANTE,2018-12-09,Poco nuboso con algún intervalo de nubes altas .,nubes
ALACANT/ALICANTE,2018-12-09,Temperaturas en ascenso ;sobre todo las máximas del interior .,temperatura
ALACANT/ALICANTE,2018-12-09,Viento del oeste flojo .,viento
ALACANT/ALICANTE,2018-12-15,Intervalos de nubes altas .,nubes
ALACANT/ALICANTE,2018-12-15,Temperaturas mínimas sin cambios y máximas en ascenso .,temperatura
ALACANT/ALICANTE,2018-12-15,Viento de componente oeste flojo a moderado .,viento
ALACANT/ALICANTE,2018-11-26,A primeras horas ;cielo nuboso sin descartar precipitaciones débiles .,nubes-precipitacion
ALACANT/ALICANTE,2018-11-26,A partir de la mañana tenderá en general a poco nuboso o despejado .,nubes
ALACANT/ALICANTE,2018-11-26,Temperaturas mínimas en ascenso y máximas en descenso .,temperatura
ALACANT/ALICANTE,2018-11-26,Viento del oeste y noroeste moderado con intervalos de fuerte y rachas muy fuertes ;sobre todo en el interior .,viento
ALACANT/ALICANTE,2019-01-07,Predominio de cielo despejado aumentando a intervalos de nubes bajas por la tarde .,nubes
ALACANT/ALICANTE,2019-01-07,Temperaturas en descenso ;en especial las máximas .,temperatura
ALACANT/ALICANTE,2019-01-07,Heladas débiles en el interior .,temperatura
ALACANT/ALICANTE,2019-01-07,Viento variable flojo con predominio del nordeste por la tarde en el litoral .,viento
ALACANT/ALICANTE,2018-12-29,Cielo entre nuboso y cubierto .,nubes
ALACANT/ALICANTE,2018-12-29,En el litoral se esperan precipitaciones ;en general débiles ;que podrán ser localmente moderadas en el extremo sur .,precipitacion
ALACANT/ALICANTE,2018-12-29,Brumas y bancos de niebla matinales en el interior .,humedad
ALACANT/ALICANTE,2018-12-29,Temperaturas sin cambios importantes .,temperatura
ALACANT/ALICANTE,2018-12-29,Viento del norte y noreste flojo a moderado .,viento
ALACANT/ALICANTE,2018-12-07,Predominio de cielo despejado .,nubes
ALACANT/ALICANTE,2018-12-07,Temperaturas sin cambios o en ligero descenso .,temperatura
ALACANT/ALICANTE,2018-12-07,Viento de componente oeste flojo con intervalos de moderado .,viento
ALACANT/ALICANTE,2018-11-28,Intervalos de nubes altas .,nubes
ALACANT/ALICANTE,2018-11-28,Temperaturas mínimas sin cambios y máximas en ascenso .,temperatura
ALACANT/ALICANTE,2018-11-28,Viento variable flojo .,viento
ALACANT/ALICANTE,2018-12-20,Intervalos de nubes medias y altas de madrugada ;tendiendo por la mañana a cielo poco nuboso o despejado .,nubes
ALACANT/ALICANTE,2018-12-20,Temperaturas con descensos locales .,temperatura
ALACANT/ALICANTE,2018-12-20,Viento de componente oeste flojo ;con intervalos de moderado por la mañana .,viento
ALACANT/ALICANTE,2018-12-12,Cielo poco nuboso o despejado aumentando a intervalos de nubes altas por la tarde .,nubes
ALACANT/ALICANTE,2018-12-12,Temperaturas mínimas en ascenso y máximas sin cambios .,temperatura
ALACANT/ALICANTE,2018-12-12,Viento de componente oeste flojo con intervalos de moderado en el interior .,viento
ALACANT/ALICANTE,2018-11-21,Predominio de cielo poco nuboso ;con nubosidad más abundante por la mañana en el interior .,nubes
ALACANT/ALICANTE,2018-11-21,Temperaturas sin cambios .,temperatura
ALACANT/ALICANTE,2018-11-21,Viento del oeste y suroeste flojo con intervalos de moderado .,viento
ALACANT/ALICANTE,2019-01-09,Poco nuboso o despejado .,nubes
ALACANT/ALICANTE,2019-01-09,Temperaturas sin cambios o en ascenso ;con mínimas al final del día .,temperatura
ALACANT/ALICANTE,2019-01-09,Heladas débiles en el interior .,temperatura
ALACANT/ALICANTE,2019-01-09,Viento de componente oeste flojo a moderado .,viento
ALACANT/ALICANTE,2018-12-25,Cielo poco nuboso con intervalos de nubes altas con aumento de la nubosidad de tipo bajo al final del día en el litoral .,nubes
ALACANT/ALICANTE,2018-12-25,Temperaturas mínimas con pocos cambios y máximas en descenso .,temperatura
ALACANT/ALICANTE,2018-12-25,No se descartan heladas débiles en puntos del interior .,temperatura
ALACANT/ALICANTE,2018-12-25,Viento variable flojo .,viento
ALACANT/ALICANTE,2018-12-17,Cielo poco nuboso .,nubes
ALACANT/ALICANTE,2018-12-17,Temperaturas en descenso .,temperatura
ALACANT/ALICANTE,2018-12-17,Viento de componente oeste flojo a moderado .,viento
ALACANT/ALICANTE,2018-11-24,Cielo poco nuboso o despejado .,nubes
ALACANT/ALICANTE,2018-11-24,Temperaturas mínimas en descenso y las máximas sin cambios importantes .,temperatura
ALACANT/ALICANTE,2018-11-24,Viento del oeste flojo con intervalos de moderado .,viento
ALACANT/ALICANTE,2018-12-02,Cielo poco nuboso o despejado con intervalos de nubes altas .,nubes
ALACANT/ALICANTE,2018-12-02,Temperaturas en ascenso ;más acusado en áreas de montaña ;donde las máximas subirán en general entre 4 y 6 grados .,temperatura
ALACANT/ALICANTE,2018-12-02,Viento de componente oeste flojo ;con intervalos de moderado en el interior .,viento
ALACANT/ALICANTE,2019-01-06,Cielo despejado .,nubes
ALACANT/ALICANTE,2019-01-06,Temperaturas en ascenso .,temperatura
ALACANT/ALICANTE,2019-01-06,Heladas débiles en puntos del interior .,temperatura
ALACANT/ALICANTE,2019-01-06,Viento de componente oeste al principio tendiendo a variable flojo .,viento
ALACANT/ALICANTE,2018-12-01,Cielo poco nuboso con intervalos de nubes altas .,nubes
ALACANT/ALICANTE,2018-12-01,Temperaturas mínimas en descenso y máximas sin cambios .,temperatura
ALACANT/ALICANTE,2018-12-01,Viento de componente oeste flojo ;con intervalos de moderado en zonas del interior .,viento
ALACANT/ALICANTE,2018-11-27,Poco nuboso con algunos intervalos de nubes altas .,nubes
ALACANT/ALICANTE,2018-11-27,Temperaturas mínimas sin cambios o en descenso y máximas en ascenso .,temperatura
ALACANT/ALICANTE,2018-11-27,Viento de componente oeste flojo ;con intervalos de moderado por la mañana .,viento
ALACANT/ALICANTE,2018-12-14,A primeras horas ;cielo nuboso sin descartar precipitaciones débiles ; a partir de la mañana se abrirán claros hasta quedar poco nuboso o despejado .,nubes-precipitacion
ALACANT/ALICANTE,2018-12-14,Temperaturas sin grandes cambios ;salvo ascensos de las máximas en el litoral .,temperatura
ALACANT/ALICANTE,2018-12-14,Viento del oeste y noroeste moderado a fuerte ;disminuyendo por la tarde a moderado .,viento
ALACANT/ALICANTE,2019-01-13,Cielo despejado .,nubes
ALACANT/ALICANTE,2019-01-13,Temperaturas en ascenso .,temperatura
ALACANT/ALICANTE,2019-01-13,Heladas en el interior ;en general débiles .,temperatura
ALACANT/ALICANTE,2019-01-13,Viento de componente oeste flojo .,viento
ALACANT/ALICANTE,2018-12-26,Cielo poco nuboso con intervalos de nubes altas y a primeras horas intervalos de nubes bajas .,nubes
ALACANT/ALICANTE,2018-12-26,No se descartan bancos de niebla matinales en el interior durante la madrugada y primeras horas de la mañana .,humedad
ALACANT/ALICANTE,2018-12-26,Temperaturas sin cambios importantes .,temperatura
ALACANT/ALICANTE,2018-12-26,Viento variable flojo o calmas .,viento
ALACANT/ALICANTE,2018-12-08,Cielo poco nuboso o despejado ;con algunos intervalos de nubes altas .,nubes
ALACANT/ALICANTE,2018-12-08,No se descarta algún banco de niebla en el litoral sur .,humedad
ALACANT/ALICANTE,2018-12-08,Temperaturas mínimas sin cambios o en ligero ascenso ; máximas en descenso en el interior y sin cambios en el litoral .,temperatura
ALACANT/ALICANTE,2018-12-08,Viento variable flojo .,viento
ALACANT/ALICANTE,2018-11-22,Intervalos de nubes medias y altas ;aumentando a nuboso de sur a norte ;sin descartar alguna precipitación débil y dispersa .,nubes-precipitacion
ALACANT/ALICANTE,2018-11-22,Temperaturas mínimas sin cambios y máximas en descenso .,temperatura
ALACANT/ALICANTE,2018-11-22,Viento del oeste flojo tendiendo a variable .,viento
ALACANT/ALICANTE,2018-12-11,Intervalos de nubes altas .,nubes
ALACANT/ALICANTE,2018-12-11,Brumas y bancos de niebla matinales en el interior .,humedad
ALACANT/ALICANTE,2018-12-11,Temperaturas sin cambios importantes .,temperatura
ALACANT/ALICANTE,2018-12-11,Viento variable flojo ;tendiendo a componente oeste flojo en el interior y a suroeste moderado en el litoral .,viento
ALACANT/ALICANTE,2018-12-23,Cielo poco nuboso con intervalos de nubes altas .,nubes
ALACANT/ALICANTE,2018-12-23,Temperaturas sin cambios importantes .,temperatura
ALACANT/ALICANTE,2018-12-23,Viento variable flojo .,viento
ALACANT/ALICANTE,2019-03-30,Intervalos matinales de nubes bajas y por la tarde ;de nubes medias y altas aumentando de sur a norte .,nubes
ALACANT/ALICANTE,2019-03-30,No se descarta alguna precipitación débil en el extremo sur a últimas horas .,precipitacion
ALACANT/ALICANTE,2019-03-30,Temperaturas mínimas con ascensos locales y máximas sin cambios .,temperatura
ALACANT/ALICANTE,2019-03-30,Viento de componente este flojo .,viento
ALACANT/ALICANTE,2019-01-03,Cielo con intervalos nubosos .,nubes
ALACANT/ALICANTE,2019-01-03,Temperaturas en descenso ;sobre todo las máximas en el interior .,temperatura
ALACANT/ALICANTE,2019-01-03,Heladas débiles en el interior .,temperatura
ALACANT/ALICANTE,2019-01-03,Viento variable flojo ;con intervalos de nordeste moderado en el litoral por la mañana .,viento
ALACANT/ALICANTE,2018-12-18,Cielo poco nuboso con intervalos de nubes altas ;aumentando al final del día la nubosidad por el oeste a cielo nuboso .,nubes
ALACANT/ALICANTE,2018-12-18,Temperaturas sin cambios importantes .,temperatura
ALACANT/ALICANTE,2018-12-18,Viento variable flojo ;con predominio del sur y suroeste flojo en el litoral por la tarde .,viento
ALACANT/ALICANTE,2018-12-04,Intervalos de nubes altas .,nubes
ALACANT/ALICANTE,2018-12-04,Temperaturas con pocos cambios .,temperatura
ALACANT/ALICANTE,2018-12-04,Viento del oeste flojo tendiendo a variable .,viento
provincia,fecha,frase,clase
TENERIFE,2018-11-30,Predominio de cielos poco nubosos o despejados .,nubes
TENERIFE,2018-11-30,Temperaturas con pocos cambios .,temperatura
TENERIFE,2018-11-30,Viento del nordeste flojo a moderado más intenso en punta noroeste y costa sureste ;con brisas en costas norte y oeste .,viento
TENERIFE,2018-12-03,Despejado en general ;con algunos intervalos nubosos a primeras horas en el norte .,nubes
TENERIFE,2018-12-03,Temperaturas máximas en ascenso y mínimas con pocos cambios .,temperatura
TENERIFE,2018-12-03,Viento del este flojo ;algo más intenso en medianías y zonas altas .,viento
TENERIFE,2018-11-25,Poco nuboso aumentando a intervalos nubosos por la tarde en el nordeste y suroeste .,nubes
TENERIFE,2018-11-25,Baja probabilidad de lluvias débiles por la tarde en el nordeste y suroeste .,precipitacion
TENERIFE,2018-11-25,Temperaturas en ascenso .,temperatura
TENERIFE,2018-11-25,Viento flojo ;de componente oeste girando a componente norte por la tarde .,viento
TENERIFE,2018-11-25,En cumbres centrales ;viento del noroeste moderado disminuyendo en la segunda mitad del día .,viento
TENERIFE,2018-12-16,Poco nuboso o despejado ;salvo algunos intervalos nubosos en el nordeste de madrugada .,nubes
TENERIFE,2018-12-16,Baja probabilidad de calima ligera .,humedad
TENERIFE,2018-12-16,Temperaturas sin cambios o en ligero ascenso ;principalmente en costas .,temperatura
TENERIFE,2018-12-16,Viento del nordeste en costas y de componente este en medianías y zonas altas .,viento
TENERIFE,2018-12-16,Brisas en costa oeste .,viento
TENERIFE,2019-01-11,Poco nuboso o despejado con algunos intervalos nubosos en el norte a últimas horas .,nubes
TENERIFE,2019-01-11,Temperaturas con pocos cambios .,temperatura
TENERIFE,2019-01-11,Viento de componente este flojo con intervalos de moderado .,viento
TENERIFE,2019-01-11,En cumbres centrales ;viento del oeste flojo aumentado a suroeste moderado por la tarde .,viento
TENERIFE,2018-12-24,Intervalos de nubes medias y altas ;tendiendo a poco nuboso durante la tarde .,nubes
TENERIFE,2018-12-24,Calima .,humedad
TENERIFE,2018-12-24,Temperaturas con pocos cambios .,temperatura
TENERIFE,2018-12-24,Viento del sudeste moderado a fuerte ;más intenso y con probables rachas de muy fuerte en cumbres y vertientes nordeste ( incluida el área metropolitana ) y vertientes suroeste y que podrían llegar puntualmente a las costas del nordeste .,viento
TENERIFE,2018-12-24,Predominio de brisas en costa noroeste .,viento
TENERIFE,2018-11-20,Intervalos nubosos .,nubes
TENERIFE,2018-11-20,No se descarta alguna lluvia débil y ocasional en el norte en la primera mitad del día ; en la segunda mitad ;probables lluvias débiles en el norte y débiles a moderadas en zonas de interior sur .,precipitacion
TENERIFE,2018-11-20,Temperaturas mínimas con pocos cambios y máximas en ligero ascenso .,temperatura
TENERIFE,2018-11-20,Viento de componente oeste flojo .,viento
TENERIFE,2018-11-20,En el Teide ;viento del noroeste disminuyendo y girando a componente oeste al final .,viento
TENERIFE,2018-12-13,En el norte y nordeste intervalos nubosos ;predominando los claros por la tarde .,nubes
TENERIFE,2018-12-13,En cumbres ;por encima de unos 1400 metros y resto de vertientes ;poco nuboso a despejado .,nubes
TENERIFE,2018-12-13,Temperaturas con pocos cambios .,temperatura
TENERIFE,2018-12-13,Viento del nordeste con intervalos de fuerte en vertientes noroeste y sureste ; predominio de las brisas en costas norte y oeste .,viento
TENERIFE,2019-01-08,Intervalos de nubes medias y altas .,nubes
TENERIFE,2019-01-08,No descarta la presencia de calima débil en el sur durante la primera mitad del día .,humedad
TENERIFE,2019-01-08,Temperaturas con pocos cambios o en ligero descenso de las mínimas .,temperatura
TENERIFE,2019-01-08,Viento de componente este flojo a moderado en costas y del sureste moderado en medianías y zonas altas .,viento
TENERIFE,2019-01-08,Brisas en costas noroeste .,viento
TENERIFE,2019-01-08,En altas cumbres centrales ;componente sur flojo a moderado .,viento
TENERIFE,2018-12-21,Intervalos nubosos en el norte ;por debajo de unos 600 a 700 metros ;predominando los cielos poco nubosos por la tarde .,nubes
TENERIFE,2018-12-21,Despejado en general en el resto de zonas .,nubes
TENERIFE,2018-12-21,Presencia de nubosidad alta a última hora del día .,nubes
TENERIFE,2018-12-21,Temperaturas mínimas sin cambios o en ligero ascenso y máximas con pocos cambios .,temperatura
TENERIFE,2018-12-21,Viento del nordeste de flojo a moderado ;girando a componente este en medianías y zonas altas ;y siendo más intenso en los extremos sudeste y noroeste .,viento
TENERIFE,2018-12-21,En el Teide ;viento variable flojo .,viento
TENERIFE,2018-12-21,Predominio de las brisas en la costa suroeste .,viento
TENERIFE,2018-11-29,Poco nuboso en general con intervalos de nubes altas .,nubes
TENERIFE,2018-11-29,En el norte ;intervalos nubosos durante la primera mitad del día y a últimas horas .,nubes
TENERIFE,2018-11-29,Temperaturas sin cambios o en ligero ascenso .,temperatura
TENERIFE,2018-11-29,Viento del nordeste flojo a moderado ;con brisas en zonas de costa .,viento
TENERIFE,2018-11-29,En medianías predominará la componente este .,viento
TENERIFE,2018-12-28,Intervalos nubosos en el nordeste con apertura de claros en horas centrales del día .,nubes
TENERIFE,2018-12-28,Poco nuboso o despejado en el resto .,nubes
TENERIFE,2018-12-28,Temperaturas sin cambios .,temperatura
TENERIFE,2018-12-28,Viento del nordeste ;algo más intenso puntualmente en el extremo sudeste y con predominio de las brisas en la costa suroeste .,viento
TENERIFE,2018-12-28,Viento de componente este en medianías y variable flojo en el Teide .,viento
TENERIFE,2018-12-06,Poco nuboso o despejado con intervalos de nubes altas .,nubes
TENERIFE,2018-12-06,Calima .,humedad
TENERIFE,2018-12-06,Temperaturas con pocos cambios .,temperatura
TENERIFE,2018-12-06,Viento del este en el litoral ;con brisas en costas este y oeste .,viento
TENERIFE,2018-12-06,En medianías y zonas altas ;sudeste moderado a fuerte .,viento
TENERIFE,2018-12-06,No se descartan rachas localmente muy fuertes al inicio en medianías comprendidas desde La Orotava hasta Anaga ;puntualmente se podrían dar a nivel de costas .,viento
TENERIFE,2018-12-05,Poco nuboso o despejado con intervalos de nubes altas .,nubes
TENERIFE,2018-12-05,Calima .,humedad
TENERIFE,2018-12-05,Temperaturas mínimas con pocos cambios y máximas en ligero descenso .,temperatura
TENERIFE,2018-12-05,Viento del este a sureste flojo a moderado ;intensificándose por la tarde .,viento
TENERIFE,2018-12-05,A últimas horas no se descartan rachas localmente muy fuertes en medianías del nordeste ;desde La Orotava hasta Anaga ;pudiendo llegar puntualmente hasta nivel de costa .,viento
TENERIFE,2018-12-05,Predominio de las brisas en costa este .,viento
TENERIFE,2018-12-19,Cielos poco nubosos o despejados ;salvo algunos intervalos de nubes altas durante la primera mitad del día .,nubes
TENERIFE,2018-12-19,Temperaturas con pocos cambios o en ligero descenso ;principalmente en el área metropolitana y la zona de Anaga .,temperatura
TENERIFE,2018-12-19,Viento del nordeste de flojo a moderado ;algo más intenso en horas centrales en la vertiente sudeste y en la punta noroeste .,viento
TENERIFE,2018-12-19,Brisas en la costa oeste .,viento
TENERIFE,2018-12-22,Poco nuboso a despejado ;con intervalos de altas durante la madrugada y final del día .,nubes
TENERIFE,2018-12-22,Posibilidad de calima al final del día .,humedad
TENERIFE,2018-12-22,Temperaturas en ligero ascenso ;más acusado en el norte y suroeste .,temperatura
TENERIFE,2018-12-22,Viento del nordeste flojo a moderado ;girando a sureste durante la mañana e intensificándose ; con intervalos de fuerte en vertientes nordeste ( incluida área metropolitana ) y suroeste .,viento
TENERIFE,2018-12-22,Predominio de las brisas en costas este y norte .,viento
TENERIFE,2018-12-10,Poco nuboso o despejado ;con intervalos de nubes altas .,nubes
TENERIFE,2018-12-10,Temperaturas con pocos cambios .,temperatura
TENERIFE,2018-12-10,Viento de componente este flojo a moderado .,viento
TENERIFE,2018-12-10,En cumbres centrales ;viento flojo del suroeste girando a noroeste al final .,viento
TENERIFE,2018-12-10,Brisas en costas norte y oeste .,viento
TENERIFE,2018-11-23,Nuboso tendiendo a intervalos nubosos a partir del mediodía .,nubes
TENERIFE,2018-11-23,Chubascos ;los cuales no se descarta que a primeras horas puedan ser localmente fuertes e ir acompañados de alguna tormenta aislada y granizo ;preferentemente en vertientes norte y este .,precipitacion
TENERIFE,2018-11-23,Baja probabilidad de que sean en forma de nieve por encima de los 2000 metros durante la madrugada .,nieve
TENERIFE,2018-11-23,Las precipitaciones pasarán a ser poco probables ;ocasionales y concentradas en vertientes norte y este a partir del mediodía .,precipitacion
TENERIFE,2018-11-23,Temperaturas sin cambios o en ligero descenso .,temperatura
TENERIFE,2018-11-23,Viento del norte flojo a moderado .,viento
TENERIFE,2018-11-23,En cumbres centrales ;componente oeste flojo de madrugada tendiendo pronto a viento de componente norte con intervalos de fuerte .,viento
TENERIFE,2018-12-27,Poco nuboso o despejado en general ;salvo algunos intervalos de nubes bajas en el nordeste a última hora de la tarde .,nubes
TENERIFE,2018-12-27,Temperaturas con pocos cambios o en ligero descenso de las máximas en el nordeste .,temperatura
TENERIFE,2018-12-27,Viento del nordeste de flojo a moderado ;más intenso en la vertiente sudeste y en el extremo noroeste ;así como en medianías del nordeste ( excluyendo el área metropolitana ) a primeras horas de la mañana .,viento
TENERIFE,2018-12-27,En medianías ;viento del este y nordeste .,viento
TENERIFE,2018-12-27,En cumbres ;viento flojo variable .,viento
TENERIFE,2018-12-27,Predominio de las brisas en la costa suroeste .,viento
TENERIFE,2018-12-09,Intervalos de nubes bajas en el nordeste ;tendiendo a poco nuboso a partir de mediodía .,nubes
TENERIFE,2018-12-09,En el resto ;poco nuboso o despejado ;con algún intervalo de nubes medias y altas durante la tarde .,nubes
TENERIFE,2018-12-09,Temperaturas con pocos cambios ;salvo ligeros descensos en las mínimas y ligeros ascensos en las máximas .,temperatura
TENERIFE,2018-12-09,Viento flojo a moderado ;del nordeste tendiendo a componente este en costas y del este a sureste en medianías y zonas altas .,viento
TENERIFE,2018-12-09,Brisas en costas suroeste .,viento
TENERIFE,2018-12-15,En el norte y nordeste ;intervalos nubosos con amplios claros durante las horas centrales .,nubes
TENERIFE,2018-12-15,En cumbres y resto de vertientes ;poco nuboso o despejado .,nubes
TENERIFE,2018-12-15,Temperaturas sin cambios o en ligero ascenso .,temperatura
TENERIFE,2018-12-15,Viento del nordeste ;con intervalos de fuerte al inicio en extremos noroeste y sudeste .,viento
TENERIFE,2018-12-15,Predominio de las brisas en costas norte y oeste .,viento
TENERIFE,2018-11-26,Intervalos nubosos aumentando durante la mañana a nuboso .,nubes
TENERIFE,2018-11-26,Probabilidad de lluvias débiles en el nordeste y suroeste .,precipitacion
TENERIFE,2018-11-26,Temperaturas con pocos cambios o en ligero descenso .,temperatura
TENERIFE,2018-11-26,Viento del nordeste flojo a moderado ;más intenso por la tarde en el sureste .,viento
TENERIFE,2018-11-26,Brisas en costas norte y suroeste .,viento
TENERIFE,2019-01-07,Intervalos de nubes medias y altas .,nubes
TENERIFE,2019-01-07,Probabilidad de calima ;tendiendo a remitir por la tarde .,humedad
TENERIFE,2019-01-07,Temperaturas con pocos cambios o en ligero descenso de las máximas .,temperatura
TENERIFE,2019-01-07,Viento de componente este en costas y del sureste en medianías y zonas altas ;con intervalos de fuerte en vertientes nordeste ( área metropolitana ) y suroeste principalmente de madrugada .,viento
TENERIFE,2019-01-07,Brisas en costa noroeste .,viento
TENERIFE,2018-12-29,Intervalos nubosos principalmente en el norte y noreste con predominio de cielos poco nubosos en horas centrales del día .,nubes
TENERIFE,2018-12-29,En el resto ;poco nuboso o despejado .,nubes
TENERIFE,2018-12-29,Temperaturas con pocos cambios o en ligero descenso .,temperatura
TENERIFE,2018-12-29,Viento del nordeste ;más intenso puntualmente en el extremo sureste .,viento
TENERIFE,2018-12-29,Predominio de las brisas en costas orientadas al suroeste .,viento
TENERIFE,2018-12-29,En el Teide ;viento del nordeste disminuyendo al final del día .,viento
