 Viento variable flojo predominio sur suroeste flojo litoral tarde,
 Intervalos nubes altas,
 Temperaturas cambios,
 Viento oeste flojo tendiendo variable,
frase,clase
 Predominio cielos nubosos despejados,
 Temperaturas cambios,
 Viento nordeste flojo moderado intenso punta noroeste costa sureste brisas costas norte oeste,
 Despejado general intervalos nubosos primeras horas norte,
 Temperaturas máximas ascenso mínimas cambios,
 Viento flojo intenso medianías zonas altas,
 nuboso aumentando intervalos nubosos tarde nordeste suroeste,
 Baja probabilidad lluvias débiles tarde nordeste suroeste,
 Temperaturas ascenso,
 Viento flojo componente oeste girando componente norte tarde,
 cumbres centrales viento noroeste moderado disminuyendo segunda mitad día,
 nuboso despejado intervalos nubosos nordeste madrugada,
 Baja probabilidad calima ligera,
 Temperaturas cambios ligero ascenso costas,
 Viento nordeste costas componente medianías zonas altas,
 costa oeste,
 nuboso despejado intervalos nubosos norte últimas horas,
 Temperaturas cambios,
 Viento componente flojo intervalos moderado,
 cumbres centrales viento oeste flojo aumentado suroeste moderado tarde,
 Intervalos nubes medias altas tendiendo nuboso tarde,
 Temperaturas cambios,
 Viento sudeste moderado fuerte intenso probables rachas fuerte cumbres vertientes nordeste incluida área metropolitana vertientes suroeste llegar costas nordeste,
 Predominio brisas costa noroeste,
 Intervalos nubosos,
 descarta lluvia débil ocasional norte primera mitad día segunda mitad probables lluvias débiles norte débiles moderadas zonas interior sur,
 Temperaturas mínimas cambios máximas ligero ascenso,
 Viento componente oeste flojo,
 viento noroeste disminuyendo girando componente oeste final,
 norte nordeste intervalos nubosos predominando claros tarde,
 cumbres metros resto vertientes nuboso despejado,
 Temperaturas cambios,
 Viento nordeste intervalos fuerte vertientes noroeste sureste predominio brisas costas norte oeste,
 Intervalos nubes medias altas,
 descarta presencia calima débil sur primera mitad día,
 Temperaturas cambios ligero descenso mínimas,
 Viento componente flojo moderado costas sureste moderado medianías zonas altas,
 costas noroeste,
 altas cumbres centrales componente sur flojo moderado,
 Intervalos nubosos norte metros predominando cielos nubosos tarde,
 Despejado general resto zonas,
 nubosidad alta última hora día,
 Temperaturas mínimas cambios ligero ascenso máximas cambios,
 Viento nordeste flojo moderado girando componente medianías zonas altas intenso extremos sudeste noroeste,
 viento variable flojo,
 Predominio brisas costa suroeste,
 nuboso general intervalos nubes altas,
 norte intervalos nubosos primera mitad día últimas horas,
 Temperaturas cambios ligero ascenso,
 Viento nordeste flojo moderado brisas zonas costa,
 medianías predominará componente,
 Intervalos nubosos nordeste apertura claros horas centrales día,
 nuboso despejado resto,
 Temperaturas cambios,
 Viento nordeste intenso extremo sudeste predominio brisas costa suroeste,
 Viento componente medianías variable flojo,
 nuboso despejado intervalos nubes altas,
 Temperaturas cambios,
 Viento este litoral brisas costas oeste,
 medianías zonas altas sudeste moderado fuerte,
 descartan rachas fuertes inicio medianías comprendidas dar nivel costas,
 nuboso despejado intervalos nubes altas,
 Temperaturas mínimas cambios máximas ligero descenso,
 Viento este sureste flojo moderado intensificándose tarde,
 últimas horas descartan rachas fuertes medianías nordeste llegar nivel costa,
 Predominio brisas costa,
 Cielos nubosos despejados intervalos nubes altas primera mitad día,
 Temperaturas cambios ligero descenso área metropolitana zona,
 Viento nordeste flojo moderado intenso horas centrales vertiente sudeste punta noroeste,
 costa oeste,
 nuboso despejado intervalos altas madrugada final día,
 Posibilidad calima final día,
 Temperaturas ligero ascenso acusado norte suroeste,
 Viento nordeste flojo moderado girando sureste mañana intensificándose intervalos fuerte vertientes nordeste incluida área metropolitana suroeste,
 Predominio brisas costas norte,
 nuboso despejado intervalos nubes altas,
 Temperaturas cambios,
 Viento componente flojo moderado,
 cumbres centrales viento flojo suroeste girando noroeste final,
 costas norte oeste,
 Nuboso tendiendo intervalos nubosos partir mediodía,
 descarta primeras horas fuertes ir acompañados tormenta aislada granizo vertientes norte,
 Baja probabilidad forma nieve 2000 metros madrugada,
 precipitaciones probables ocasionales concentradas vertientes norte partir mediodía,
 Temperaturas cambios ligero descenso,
 Viento norte flojo moderado,
 cumbres centrales componente oeste flojo madrugada tendiendo viento componente norte intervalos fuerte,
 nuboso despejado general intervalos nubes bajas nordeste última hora tarde,
 Temperaturas cambios ligero descenso máximas nordeste,
 Viento nordeste flojo moderado intenso vertiente sudeste extremo noroeste medianías nordeste excluyendo área metropolitana primeras horas mañana,
 medianías viento este nordeste,
 cumbres viento flojo variable,
 Predominio brisas costa suroeste,
 Intervalos nubes bajas nordeste tendiendo nuboso partir mediodía,
 resto nuboso despejado intervalo nubes medias altas tarde,
 Temperaturas cambios ligeros descensos mínimas ligeros ascensos máximas,
 Viento flojo moderado nordeste tendiendo componente costas este sureste medianías zonas altas,
 costas suroeste,
 norte nordeste intervalos nubosos amplios claros horas centrales,
 cumbres resto vertientes nuboso despejado,
 Temperaturas cambios ligero ascenso,
 Viento nordeste intervalos fuerte inicio extremos noroeste sudeste,
 Predominio brisas costas norte oeste,
 Intervalos nubosos aumentando mañana nuboso,
 Probabilidad lluvias débiles nordeste suroeste,
 Temperaturas cambios ligero descenso,
 Viento nordeste flojo moderado intenso tarde sureste,
 costas norte suroeste,
 Intervalos nubes medias altas,
 Probabilidad calima remitir tarde,
 Temperaturas cambios ligero descenso máximas,
 Viento componente costas sureste medianías zonas altas intervalos fuerte vertientes nordeste área metropolitana suroeste madrugada,
 costa noroeste,
 Intervalos nubosos norte noreste predominio cielos nubosos horas centrales día,
 resto nuboso despejado,
 Temperaturas cambios ligero descenso,
 Viento nordeste intenso extremo sureste,
 Predominio brisas costas orientadas suroeste,
 viento nordeste disminuyendo final día,
 nuboso intervalos nubes altas tendiendo final día intervalos nubes bajas nordeste,
 Probabilidad ligera calima primera mitad día,
 Temperaturas cambios ligero ascenso máximas,
 Viento moderado intervalos fuerte medianías nordeste descarta rachas fuertes madrugada primeras horas mañana llegar nivel costa,
 viento girará nordeste costas tarde,
 cumbres sur flojo moderado girando,
 Predominio nuboso general intervalos madrugada norte tarde interior vertientes orientadas suroeste,
 Temperaturas máximas ligero ascenso mínimas cambios,
 Viento flojo este nordeste intenso medianías brisas zonas costa,
 viento flojo sudeste,
 Cielos nubosos despejados general intervalos nubosos zonas bajas norte final día,
 Temperaturas cambios,
 Viento nordeste flojo moderado girando componente medianías zonas altas intenso tarde extremos sudeste noroeste,
 viento variable flojo,
 Predominio brisas costa suroeste,
 norte nordeste nuboso tendiendo intervalos nubosos tarde,
 resto zonas nuboso despejado suroeste crecerá nubosidad evolución tarde,
 descarta lluvia débil ocasional medianías nordeste primera mitad día,
 Temperaturas cambios ligero descenso,
 Viento nordeste intenso extremos sureste noroeste,
 costas norte suroeste,
 Nuboso cubierto precipitaciones partir mañana probabilidad fuertes descartar vayan acompañadas tormenta aislada,
 vertiente norte área metropolitana persistentes horas centrales día tarde,
 vertiente sur carácter ocasional,
 Temperaturas mínimas ligero moderado ascenso máximas cambios,
 Viento suroeste flojo moderado girará norte final,
 nuboso despejado alternando intervalos nubes altas intervalo bajas norte final,
 Temperaturas cambios,
 Viento nordeste flojo moderado intenso sur predominando brisas costas norte oeste,
 nuboso despejado intervalo nubes altas madrugada,
 Probable calima,
 Temperaturas mínimas ligero descenso máximas cambios,
 Viento sudeste intenso sur medianías mediodía,
 tarde viento flojo variable,
 viento sur suroeste moderado fuerte debilitándose largo día,
 Predominio brisas costas norte noroeste,
 nuboso despejado,
 Baja probabilidad calima ligera primera mitad día,
 Temperaturas cambios ligero descenso,
 Viento componente costas sureste medianías zonas altas moderado disminuyendo flojo final,
 costa oeste,
 Intervalos nubosos madrugada descartándose chubasco aislado sureste madrugada tendiendo nuboso precipitaciones,
 Temperaturas ascenso,
 Viento general flojo componente norte madrugada girando componente oeste mañana predominando brisas costas,
 cumbres centrales viento noroeste intervalos fuerte,
 nuboso despejado general intervalos nubosos mañana norte noreste,
 Temperaturas cambios,
 Viento nordeste flojo moderado intenso extremo sudeste mañana girando componente flojo tarde,
 Intervalos nubes altas predominio cielos despejados primera mitad día,
 Probabilidad calima,
 Temperaturas cambios ligeros ascensos mínimas ligeros descensos máximas,
 Viento este sureste moderado intervalos fuerte vertientes nordeste área metropolitana suroeste,
 costa noroeste,
 Intervalos nubosos norte predominando cielos nubosos horas centrales,
 resto nuboso despejado,
 Baja probabilidad lloviznas nordeste primeras últimas horas,
 Temperaturas cambios ligero descenso,
 Viento nordeste flojo moderado intenso costa sudeste segunda mitad día,
 viento flojo componente norte girando final,
 costa suroeste,
 Intervalos nubosos aumentando mañana nuboso abriéndose claros últimas horas,
 Baja probabilidad lluvias débiles dispersas interior horas centrales,
 Temperaturas cambios,
 Viento nordeste flojo intervalos moderado segunda mitad día norte sudeste,
 viento flojo noroeste cambiando sudeste final día,
 costas suroeste,
 norte nordeste intervalos nubosos tenderán cielos nubosos partir mediodía,
 resto zonas nuboso despejado,
 Baja probabilidad lluvias débiles ocasionales madrugada nordeste probables medianías,
 Temperaturas cambios,
 Viento nordeste flojo moderado intervalos fuerte extremos noroeste sureste,
 Predominio brisas costas norte oeste,
 Despejado,
 segunda mitad día,
 Temperaturas ligero ascenso,
 Viento este sureste moderado intervalos fuerte vertientes suroeste nordeste área metropolitana,
 cumbres centrales viento componente sur,
 costa norte,
 nuboso despejado general intervalos nubes altas horas centrales día,
 Temperaturas cambios,
 Viento componente flojo moderado,
 viento componente sur flojo moderado,
 Predominio brisas zonas costa,
 Intervalos nubes bajas nordeste,
 resto nuboso despejado,
 mínimas cambios ligero descenso máximas ligero descenso,
 flojo moderado nordeste costas este sudeste medianías zonas altas,
 brisas vertiente oeste isla,
 Nuboso cubierto apertura claro sur tarde,
 Precipitaciones inicio ocasionales,
 partir mañana probables frecuentes existe probabilidad fuertes especial vertientes norte persistentes,
 descarta acompañadas tormenta aislada granizo,
 cota nieve descendiendo 2700 metros 2000 metros final día,
 Temperaturas ligero moderado descenso especial máximas,
 Viento componente norte flojo aumentando moderado tarde,
 cumbres centrales componente oeste intervalos fuerte,
 norte intervalos nubosos,
 resto zonas nuboso despejado,
 Baja probabilidad lluvia débil ocasional norte final,
 Temperaturas mínimas cambios máximas ligero descenso acusado medianías norte,
 Viento nordeste flojo moderado intervalos fuerte sureste tarde,
 costas suroeste,
 cumbres centrales viento componente norte moderado,
 Intervalos nubes altas compactas segunda mitad día,
 Temperaturas mínimas ascenso máximas descenso,
 Viento sureste intervalos fuerte cumbres vertientes nordeste incluida área metropolitana vertientes suroeste medianías nordeste rachas llegar costas,
 Predominio brisas costas sureste noroeste,
 nuboso despejado general intervalos nubes altas tarde,
 Intervalos nubosos zonas bajas este primeras últimas horas,
 Temperaturas cambios ligero descenso,
 Viento componente flojo moderado intenso extremo sur nordeste cumbres centrales viento componente norte,
 costas noroeste oeste,
 Despejado,
 Probabilidad calima ligera primera mitad día,
 Temperaturas cambios,
 Viento variable flojo tendiendo nordeste flojo tarde,
 costa oeste,
 Despejado general intervalos nubes altas,
 Probabilidad entrada calima leve tarde,
 Temperaturas mínimas ascenso máximas cambios costas descenso cumbres,
 Viento este sureste flojo moderado intenso vertientes oeste nordeste cumbres centrales predominio brisas costas norte,
frase,clase
 Nuboso principio descartar precipitación este quedando madrugada intervalos nubosidad baja probables brumas bancos niebla matinales nuboso resto tendiendo tarde despejado comunidad,
 Temperaturas descenso resto mínimas ascenso máximas cambios descenso mínimas alcanzarán final día,
 Heladas débiles intensas cotas altas,
 Viento flojo oeste noroeste,
 nuboso intervalos nubes altas,
 resto nuboso nubes bajas brumas bancos niebla matinales tendiendo nuboso intervalos nubes altas segunda mitad día,
 Temperaturas mínimas cambios ligero ascenso máximas cambios descenso resto,
 Vientos flojos variables tendiendo final nordeste,
 Nuboso cubierto lluvias débiles chubascos ocasionales probables sur,
 Cota nieve metros,
 Temperaturas aumento acusado mínimas,
 Viento suroeste flojo intervalos intensos horas centrales,
 Nuboso cubierto lluvias chubascos mediodía disminuyendo nubosidad intervalos,
 precipitaciones forma nieve entorno torno 1800 1200 metros disminuyendo cota 1300 metros,
 Temperaturas aumento máximas cotas altas disminuirán mínimas final día,
 Heladas débiles dispersas norte,
 Viento suroeste flojo girando oeste tarde extremo sur intervalos fuerte zonas altas descarta racha fuerte,
 nuboso despejado,
 Temperaturas cambios ligero descenso,
 Heladas generalizadas intensas zonas altas,
 Viento flojo norte noreste,
 Intervalos nubes bajas primera horas centro sur brumas bancos niebla matinales densas persistentes mañana valle tendiendo partir horas centrales día nuboso área nuboso intervalos nubes altas,
 Temperaturas mínimas descenso sur cambios norte máximas aumento,
 Viento flojo variable,
 Viento flojo variable calma,
 Predominio cielos nubosos abriéndose claros tarde,
 Precipitaciones generalizadas primera mitad día intensas tendiendo ocasionales tarde,
 Cota nieve 1600 metros bajando tarde metros,
 Brumas probables suroeste,
 Temperaturas mantienen cambios ligeros descensos locales,
 Viento suroeste flojo arreciando horas centrales,
 lluvias chubascos tendiendo nuboso partir mediodía remitiendo precipitaciones,
 Cota nieve torno 1100 metros partir mañana,
 Probables nieblas zonas altas medias sierra,
 Temperaturas mínimas ligero ascenso acusado centro comunidad máximas descenso cambios resto,
 mínimas alcanzarán final día,
 Viento componente oeste rachas fuertes puntos altos,
 Predominio cielos despejados aumentando nubosidad alta tarde,
 Temperaturas mínimas descenso valle cambios resto,
 Temperaturas máximas descenso acusado,
 Heladas débiles generalizadas probables oeste intensas valles,
 Vientos flojos variables tendiendo componente norte tarde,
 Predominio intervalos nubosos tipo bajo primeras horas nuboso día tendencia abriendo claros zonas altas nubosidad escasa,
 Probables brumas bancos niebla persistentes mañana gran parte comunidad,
 Temperaturas cambios importantes ligero descenso máximas general embargo máximas suben,
 Heladas débiles cotas altas,
 Viento flojo variable,
 nuboso despejado intervalos nubes altas aumentando cubierto tarde lluvias débiles chubascos oeste intensos,
 Temperaturas mínimas cambios máximas descenso cambios resto,
 Heladas débiles dispersas sureste,
 Viento flojo este nordeste rolando tarde suroeste,
 nuboso despejado nubes bajas bancos niebla matinales vegas,
 Temperaturas cambios significativos máximas descenderán,
 Viento flojo variable predominando nordeste partir mediodía,
 Predominio cielo despejado intervalo nubes altas probables brumas bancos niebla estratos bajos matinales valles sureste extremo sur,
 Temperaturas cambios predominando descensos,
 Vientos flojos variables,
 Predominio nuboso intervalo nubes altas probables brumas bancos niebla estratos bajos matinales valles,
 Temperaturas ligero ascenso,
 Viento flojo variable,
 Nuboso cubierto lluvias débiles chubascos madrugada probables intensas sureste probables brumas disminuyendo mañana nuboso intervalos tarde intervalos abundantes resto comunidad nubes altas,
 Cota nieve torno 1400 metros,
 Temperaturas mínimas cambios ascenso resto alcanzándose final día máximas ascenso área cambios resto,
 Heladas débiles área,
 Vientos flojos oeste suroeste,
 Intervalos nubes bajas mañana tendiendo abrirse claros horas centrales quedando tarde cielos nuboso intervalos nubes altas,
 Nieblas matinales persistentes,
 Temperaturas ligero aumento cambios resto,
 Viento flojo variable,
 nuboso intervalos nubes altas mediodía descartar brumas bancos nieblas matinales sur sureste,
 Temperaturas cambios descensos locales máximas,
 descarta helada débil aislada,
 Vientos flojos variables predominando componente norte mañana,
 nuboso cubierto tendiendo nuboso mañana,
 Lluvias chubascos primera mitad día cotas nieve 1600 metros disminuyendo madrugada 1400 metros,
 Probables brumas bancos niebla matinales,
 Temperaturas mínimas ligero descenso máximas cambios significativos,
 Heladas débiles,
 Viento flojo suroeste,
 Intervalos nubes medias altas mañana nuboso despejado resto día formación nocturna vegas estratos bajos bancos niebla disiparán mañana,
 Temperaturas cambios,
 Heladas débiles zonas bajas,
 Viento flojo variable calma,
 nuboso despejado intervalos nubes altas nubes bajas brumas bancos niebla matinales sur sureste,
 Temperaturas mínimas descenso,
 Temperaturas máximas aumento,
 Vientos flojos variables,
 nuboso nubes altas aumentando nuboso cubierto partir mediodía probabilidad baja lluvias débiles sierra final día,
 Temperaturas ascenso notable máximas resto mínimas ligero descenso máximas cambios,
 Heladas débiles mitad oriental,
 Vientos flojos dirección variable tendiendo suroeste,
 Nuboso principio precipitaciones débiles extremo tendiendo mañana intervalos nubosos tarde nuboso despejado,
 Lluvias débiles chubascos ocasionales madrugada,
 Cota nieve torno 1400 metros descendiendo 1200 metros,
 Temperaturas descenso mínimas darán final día,
 Heladas débiles zonas montaña,
 Viento suroeste flojo arreciando mañana viento noroeste probables rachas fuertes,
 Despejado,
 Temperaturas mínimas cambios ligero aumento máximas cambios,
 Heladas débiles generalizadas acusadas valles,
 Viento norte nordeste flojo,
 nuboso despejado intervalos nubes bajas principio zonas altas,
 descartan brumas matinales vegas sur,
 Heladas débiles intensas zonas altas,
 Temperaturas mínimas cambios ascenso resto máximas cambios significativos,
 Viento flojo nordeste,
 Despejado probables estratos bajos brumas bancos niebla matinales valles extremo sur intervalos nubes altas partir tarde,
 Temperaturas cambios descenso resto,
 Heladas débiles mitad valles sur,
 Vientos flojos variables,
 nuboso intervalos nubes altas,
 descartan brumas bancos niebla matinales valles sur comunidad,
 Temperaturas ascenso resto ligero descenso mínimas cambios máximas,
 Viento flojo variable tendiendo tarde nordeste,
 Nuboso cubierto tendiendo tarde intervalos nubosos,
 Probables precipitaciones débiles principio,
 Cota nieve metros,
 bancos niebla matinales probables,
 Temperaturas cambios importantes,
 Heladas débiles cotas altas,
 Viento flojo predominio componente oeste tendiendo variable,
 nuboso principio intervalos nubes bajas probables bancos niebla brumas matinales sudeste aumentando cubierto,
 descartan lluvias débiles final,
 Temperaturas mínimas ligero descenso ligero ascenso resto máximas descenso,
 Viento flojo variable tendiendo tarde suroeste,
 Nuboso cubierto tendiendo nuboso tarde,
 Probables chubascos dispersos cesando tarde,
 Cota nieve torno 1400 metros,
 Brumas,
 Temperaturas mínimas ligero moderado descenso máximas cambios,
 Viento suroeste flojo intervalos intensos,
 Intervalos nubes bajas tendiendo nuboso despejado,
 descartan brumas banco niebla matinales,
 Temperaturas mínimas ligero ascenso este cambios resto norte zona descenderán máximas descenso cambios resto,
 Viento flojo componente norte soplando intensidad tarde zonas altas,
 nuboso despejado intervalos nubes altas,
 Temperaturas mínimas aumento suroeste mantendrán cambios,
 Temperaturas máximas cambios significativos aumentarán,
 Viento flojo variable predominando componente norte,
 principio nuboso intervalos nubosos tipo bajo sureste probables brumas matinales banco niebla tendiendo tarde cubrirse cielos nubes altas,
 Temperaturas descenso,
 Heladas débiles generalizadas,
 Viento flojo dirección variable,
 nuboso descartar lluvias débiles final día,
 resto intervalos nubosos predominando cielos nubosos horas centrales,
 descartan brumas bancos niebla matinales,
 Temperaturas ligero descenso heladas débiles cotas altas,
 Viento flojo variable tendiendo suroeste,
 Intervalos nubes altas esperan nubes bajas principio final día cotas altas irán acompañadas brumas bancos niebla centro sur,
 Temperaturas mínimas aumento máximas suben zonas altas mantienen cambios ligero descenso zonas afectadas nieblas,
 Vientos flojos variables,
 Predominio cielos despejados,
 Temperaturas mínimas cambios ligeros,
 Temperaturas máximas descenso predominando aumentos resto,
 Heladas débiles generalizadas probables,
 Vientos flojos variables predominando componente norte,
 nuboso despejado intervalos nubes medias altas frecuentes tarde,
 descarta bruma banco niebla valle tributarios,
 Temperaturas mínimas descenso acusado,
 Temperaturas máximas aumento cambios resto,
 Heladas débiles amplias zonas centro norte provincia acusadas zonas altas,
 Vientos flojos variables tendiendo suroeste,
 Intervalos nubes altas,
 descartan brumas banco niebla matinal valles sur comunidad,
 Temperaturas mínimas descenso máximas cambios ascenderán,
 Viento flojo variable,
 Nuboso tendiendo intervalos nubosos nuboso final persistente nubosidad sierra probables nieblas,
 Temperaturas mínimas descenso máximas descenso cambios resto,
 Heladas débiles zonas altas,
 Viento oeste noroeste rachas fuertes madrugada,
 nuboso intervalos nubes bajas tienden disminuir tarde resto nuboso despejado,
 Temperaturas cambios ligero aumento,
 Heladas matinales débiles generalizadas,
 Vientos norte intensos flojos resto,
 Intervalos nubes medias altas tendiendo nuboso tarde,
 Probables brumas estratos bajos bancos niebla matinales vega,
 Temperaturas mínimas cambios significativos máximas descenso,
 Viento flojo variable calma,
 nuboso intervalos nubes altas brumas bancos matinales niebla sur sureste,
 Temperaturas mínimas ligero aumento máximas ligero descenso cambios resto,
 Vientos flojos variables,
 nuboso tendiendo cubierto,
 Lluvias débiles chubascos extender resto comunidad final día,
 bancos niebla matinales persistentes,
 Temperaturas cambios,
 Viento flojo componente sur,
 nuboso nubes altas aumentando intervalos nubosos tarde,
 Temperaturas cambios ligero descenso acusado mínimas sureste heladas débiles,
 Vientos flojos variables,
 Intervalos nubes bajas brumas bancos niebla matinales tenderán persistir mediodía sur romperán nieblas horas área predominarán cielos nubosos intervalos nubosidad alta,
 Temperaturas mínimas aumento cambios resto máximas aumento,
 Viento flojo variable,
 Despejado aumentando intervalos nubes altas tarde,
 Temperaturas mínimas ascenso cambios resto máximas descenso zonas bajas cambios resto,
 Heladas débiles generalizadas,
 Viento este nordeste flojo calma horas centrales,
 Nubosidad alta primera mitad día aumentando nuboso cubierto tarde lluvias débiles chubascos intensos frecuentes,
 bancos niebla matinales probables mitad suroeste,
 Cota nieve descendiendo metros,
 Temperaturas cambios significativos,
 Heladas débiles generalizadas,
 Vientos flojos noreste girando mañana componente sur flojos,
 ascenso cambios resto máximas ascenso notable comunidad,
 Viento flojo variable predominio componente,
frase,clase
 Nuboso cubierto precipitaciones débiles madrugada tendiendo nuboso despejado,
 Cota nieve metros,
